cell_name,ds,y
cell_name_0,2022-03-10 00:00:00+00:00,20.833125
cell_name_0,2022-03-11 00:00:00+00:00,18.6818125
cell_name_0,2022-03-12 00:00:00+00:00,21.31425
cell_name_0,2022-03-14 00:00:00+00:00,20.2911875
cell_name_0,2022-03-15 00:00:00+00:00,18.9720625
cell_name_0,2022-03-16 00:00:00+00:00,20.0613125
cell_name_0,2021-12-30 00:00:00+00:00,22.3114375
cell_name_0,2021-12-31 00:00:00+00:00,22.33825
cell_name_0,2022-01-01 00:00:00+00:00,23.5165
cell_name_0,2022-01-02 00:00:00+00:00,22.9455
cell_name_0,2022-01-03 00:00:00+00:00,22.3700625
cell_name_0,2022-01-04 00:00:00+00:00,23.633125
cell_name_0,2022-01-05 00:00:00+00:00,23.664375
cell_name_0,2022-03-17 00:00:00+00:00,20.3533125
cell_name_0,2022-03-18 00:00:00+00:00,21.189625
cell_name_0,2022-03-19 00:00:00+00:00,19.9246875
cell_name_0,2022-03-20 00:00:00+00:00,19.287125
cell_name_0,2022-03-21 00:00:00+00:00,19.0705
cell_name_0,2022-03-22 00:00:00+00:00,20.9395625
cell_name_0,2022-03-23 00:00:00+00:00,18.90975
cell_name_0,2022-01-06 00:00:00+00:00,23.249
cell_name_0,2022-01-07 00:00:00+00:00,23.524375
cell_name_0,2022-01-08 00:00:00+00:00,22.6585625
cell_name_0,2022-01-09 00:00:00+00:00,24.225
cell_name_0,2022-01-10 00:00:00+00:00,21.60375
cell_name_0,2022-01-11 00:00:00+00:00,22.271375
cell_name_0,2022-01-12 00:00:00+00:00,22.5264375
cell_name_0,2021-10-01 00:00:00+00:00,21.9765
cell_name_0,2021-10-02 00:00:00+00:00,22.078375
cell_name_0,2021-10-03 00:00:00+00:00,22.07875
cell_name_0,2021-10-04 00:00:00+00:00,23.69925
cell_name_0,2021-10-05 00:00:00+00:00,24.215125
cell_name_0,2021-10-06 00:00:00+00:00,22.881625
cell_name_0,2021-10-07 00:00:00+00:00,21.042
cell_name_0,2021-10-08 00:00:00+00:00,20.890875
cell_name_0,2021-10-09 00:00:00+00:00,20.1825
cell_name_0,2021-10-10 00:00:00+00:00,21.60075
cell_name_0,2021-10-11 00:00:00+00:00,20.664
cell_name_0,2021-10-12 00:00:00+00:00,21.84425
cell_name_0,2021-10-13 00:00:00+00:00,23.527875
cell_name_0,2021-10-14 00:00:00+00:00,22.1125
cell_name_0,2021-10-15 00:00:00+00:00,20.643875
cell_name_0,2021-10-16 00:00:00+00:00,23.190125
cell_name_0,2021-10-17 00:00:00+00:00,23.018875
cell_name_0,2021-10-18 00:00:00+00:00,21.451375
cell_name_0,2021-10-19 00:00:00+00:00,19.785625
cell_name_0,2021-10-20 00:00:00+00:00,23.03075
cell_name_0,2021-10-21 00:00:00+00:00,23.526625
cell_name_0,2021-10-22 00:00:00+00:00,23.1705
cell_name_0,2021-10-23 00:00:00+00:00,23.088
cell_name_0,2021-10-24 00:00:00+00:00,18.574625
cell_name_0,2021-10-25 00:00:00+00:00,23.267375
cell_name_0,2021-10-26 00:00:00+00:00,22.4035
cell_name_0,2021-10-27 00:00:00+00:00,21.6786875
cell_name_0,2021-10-28 00:00:00+00:00,23.52775
cell_name_0,2021-10-29 00:00:00+00:00,22.1375
